Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Flag_New,Flag_Old,Flag_Recent,Flag_EcoEngine,Flag_Luxury,Flag_TopSeller,Flag_LowSeller
5 Series,2016,Asia,Red,Petrol,Manual,3.5,151748,98740.0,8300,High,0,1,0,0,1,1,0
i8,2013,North America,Red,Hybrid,Automatic,1.6,121671,79219.0,3428,Low,0,1,0,1,1,0,0
5 Series,2022,North America,Blue,Petrol,Automatic,4.5,10991,113265.0,6994,Low,0,0,1,0,1,0,0
X3,2024,Middle East,Blue,Petrol,Automatic,1.7,27255,60971.0,4047,Low,0,0,1,1,0,0,0
7 Series,2020,South America,Black,Diesel,Manual,2.1,122131,49898.0,3080,Low,0,0,1,0,0,0,0
5 Series,2017,Middle East,Silver,Diesel,Manual,1.9,171362,42926.0,1232,Low,0,1,0,0,0,0,1
i8,2022,Europe,White,Diesel,Manual,1.8,196741,55064.0,7949,High,0,0,1,0,0,1,0
M5,2014,Asia,Black,Diesel,Automatic,1.6,121156,102778.0,632,Low,0,1,0,1,1,0,1
X3,2016,South America,White,Diesel,Automatic,1.7,48073,116482.0,8944,High,0,1,0,1,1,1,0
i8,2019,Europe,White,Electric,Manual,3.0,35700,96257.0,4411,Low,0,0,0,0,1,0,0
3 Series,2012,Middle East,White,Electric,Manual,2.4,101595,117995.0,500,Low,0,1,0,0,1,0,1
i8,2016,North America,Blue,Hybrid,Manual,1.9,116863,74539.0,8252,High,0,1,0,0,0,1,0
7 Series,2020,North America,Silver,Diesel,Automatic,3.8,27403,100015.0,8111,High,0,0,1,0,1,1,0
5 Series,2020,Africa,White,Electric,Manual,2.3,163444,119486.0,4668,Low,0,0,1,0,1,0,0
X1,2017,Asia,Black,Electric,Automatic,1.6,107918,34078.0,7291,High,0,1,0,1,0,0,0
M3,2014,North America,Silver,Hybrid,Manual,3.0,154050,94997.0,7765,High,0,1,0,0,1,1,0
X5,2013,Asia,Blue,Electric,Manual,2.6,110142,114844.0,5561,Low,0,1,0,0,1,0,0
M5,2017,North America,Red,Diesel,Automatic,2.6,86900,81934.0,9755,High,0,1,0,0,1,1,0
5 Series,2017,North America,Silver,Electric,Manual,3.1,57843,111326.0,4880,Low,0,1,0,0,1,0,0
X5,2012,Africa,Blue,Electric,Manual,3.8,142243,82677.0,7104,High,0,1,0,0,1,0,0
